Index	First	Last	Team	Position	ESPNRank	FPRank	Upside	Injury Status	Blurb
M BRE RB SF	Matt	Breida	SF	RB	154	145.0	-5.0	Questionable for Week 1	49ers projected No. 2 back done for August with separated shoulder.
A JON RB GB	Aaron	Jones	GB	RB	161	146.0	16.0	Week 3	Packers most explosive RB can’t shake injuries. Sidelined by hamstring. 
J BRO WR BAL	John	Brown	BAL	WR	141	147.0	4.0		Outplaying Crabtree in camp. Can smash ADP with good injury luck. 
C CLA TE BUF	Charles	Clay	BUF	TE	133	148.0	-4.0		Has never reached 560 yards or topped 4 TDs in three years with Bills. 
M WIL WR LAC	Mike	Williams	LAC	WR	146	149.0	7.0		
B BOR QB JAC	Blake	Bortles	JAC	QB	267	150.0	-7.0		
C BRA TE TB	Cameron	Brate	TB	TE	196	151.0	-5.0		
M GAL WR DAL	Michael	Gallup	DAL	WR	125	152.0	-3.0		
T RID RB DET	Theo	Riddick	DET	RB	149	153.0	-2.0		
T GIN WR NO	Ted	Ginn	NO	WR	216	154.0	2.0		Increasing concern Ginn could lose snaps to rookie Tre’Quan Smith. 
C RID WR ATL	Calvin	Ridley	ATL	WR	129	155.0	-1.0		
F GOR RB MIA	Frank	Gore	MIA	RB	206	156.0	-4.0		Slated to be 1b to Kenyan Drake’s 1a in Dolphins backfield committee. 
E EBR TE IND	Eric	Ebron	IND	TE	246	157.0	-6.0		
DEF JAC			JAC	DEF	156	158.0			
M TRU QB CHI	Mitchell	Trubisky	CHI	QB	212	159.0	-6.0		
L BLO RB DET	LeGarrette	Blount	DET	RB	193	160.0	8.0		
M BRY WR OAK	Martavis	Bryant	OAK	WR	215	161.0	-3.0		
C GOD WR TB	Chris	Godwin	TB	WR	126	162.0	3.0		
D CAR QB OAK	Derek	Carr	OAK	QB	244	163.0	-7.0		
DEF MIN			MIN	DEF	172	164.0			
E MAN QB NYG	Eli	Manning	NYG	QB	243	165.0	-4.0		
D MAR RB OAK	Doug	Martin	OAK	RB	153	166.0	-0.0		
D FOR RB HOU	D'Onta	Foreman	HOU	RB	202	167.0	11.0	Questionable for training camp	
A DAL QB CIN	Andy	Dalton	CIN	QB	219	168.0	-4.0		
R KEL RB WAS	Rob	Kelley	WAS	RB	151	169.0	17.0		Plodding back is favorite for Skins early-down work after Guice ACL tear.
