Index	Rank	Best	Worst	Avg	Std Dev	ADP
DEF LAC	193	144	230	176.6	23.3	142.0
J KEA WR NYJ	194	111	224	173.9	28.8	277.0
DEF BAL	195	148	239	180.0	23.4	153.0
DEF SEA	196	137	256	181.4	40.4	227.0
S GOS K NE	197	162	233	181.9	27.2	122.0
A WIL WR MIA	198	120	216	178.0	25.6	291.0
D AME WR MIA	199	113	259	186.9	37.0	247.0
T YEL RB JAC	200	140	208	180.6	23.5	214.0
J ALL RB BAL	201	118	226	183.0	28.4	225.0
S PER RB WAS	202	113	237	180.9	42.6	160.0
C SUT WR DEN	203	105	223	176.3	34.3	207.0
G ALL WR GB	204	159	238	187.6	22.1	195.0
J WIN QB TB	205	97	260	191.3	34.4	159.0
T TAY WR TEN	206	106	230	180.5	33.8	265.0
V MCD TE PIT	207	158	220	186.9	18.1	245.0
T WIL WR DAL	208	131	250	187.8	28.8	269.0
DEF NE	209	147	244	185.6	23.7	202.0
A PET RB WAS	210	89	207	151.2	43.1	232.0
R TAN QB MIA	211	154	245	188.9	20.6	222.0
J TUC K BAL	212	166	235	185.8	23.8	146.0
T TAY QB CLE	213	100	334	200.1	51.9	212.0
G ZUE K LAR	214	166	234	186.3	21.3	126.0
M BRY K ATL	215	168	238	191.9	24.4	194.0
S WAR RB KC	216	110	258	195.3	38.8	204.0
M GES TE MIA	217	158	256	195.9	30.1	203.0
DEF KC	218	147	282	196.3	40.8	239.0
T BEN WR LAC	219	156	229	178.7	22.2	303.0
J WAS WR PIT	220	155	232	197.1	26.4	209.0
DEF CAR	221	173	246	191.1	19.0	186.0
DEF NO	222	161	232	196.2	21.9	179.0
DEF PIT	223	166	236	193.2	17.2	181.0
J STE RB NYG	224	134	230	195.1	24.2	268.0
H HUR TE BAL	225	141	216	190.6	19.4	176.0
D SPR RB PHI	226	144	250	197.9	26.5	261.0
J MAT WR FA	227	106	391	219.3	123.4	243.0
D BAI K DAL	228	172	275	206.0	34.3	205.0
A ABD RB DET	229	124	307	202.0	67.0	299.0
B MAR WR SEA	230	103	257	212.4	48.1	281.0
W LUT K NO	231	174	240	204.3	23.0	172.0
L WIL TE DET	232	144	255	204.8	28.4	230.0
T PRY WR NYJ	233	141	253	208.8	31.9	276.0
C BEA WR DAL	234	158	254	208.9	33.1	259.0
M PRA K DET	235	180	263	204.2	25.4	228.0
DEF ARI	236	157	272	206.7	31.1	229.0
DEF CHI	237	177	242	208.8	22.7	238.0
M GIL RB NE	238	129	331	233.0	82.6	359.0
S BRA QB ARI	239	175	268	207.3	31.7	221.0
W SNE WR BAL	240	131	249	216.8	34.9	310.0
Z JON WR BUF	241	162	240	212.1	26.8	226.0
J ELL K PHI	242	185	241	210.8	22.8	173.0
K BAL RB MIA	243	155	286	218.3	40.5	208.0
L JAC QB BAL	244	142	298	223.8	55.3	231.0
J HIL RB NE	245	160	310	226.1	44.3	190.0
J FLA QB BAL	246	176	262	215.2	23.8	224.0
DEF ATL	247	178	243	213.4	21.5	233.0
J BUT TE DEN	248	169	270	219.4	30.8	215.0
C PRO RB SEA	249	172	311	222.8	42.0	323.0
J KEL RB LAR	250	171	317	233.0	54.8	283.0
