Index	First	Last	Team	Position	ESPNRank	FPRank	Std Dev	Injury Status	Blurb
A JEF WR PHI	Alshon	Jeffery	PHI	WR	40	47.0	13.1	Questionable for Week 1	Long recovery from rotator cuff surgery has Week 1 status in doubt. 
B COO WR LAR	Brandin	Cooks	LAR	WR	41	48.0	11.5		Volume likely to take hit in L.A. but should still mix in spiked weeks. 
J GOR WR CLE	Josh	Gordon	CLE	WR	34	49.0	11.5		Classic boom-bust pick. Browns seem confident Gordon will play in ’18.
R FRE RB DEN	Royce	Freeman	DEN	RB	47	50.0	22.3		DEN likely lead RB will lose passing-down snaps to Devontae Booker.
J LAN WR CLE	Jarvis	Landry	CLE	WR	51	51.0	10.5		Set to vacuum targets again as Browns WRs around him drop like flies. 
M ING RB NO	Mark	Ingram	NO	RB	58	52.0	16.4	Return Week 5	Suspended Weeks 1-4 (PEDs). Role all but certain to lessen upon return.
C HOG WR NE	Chris	Hogan	NE	WR	53	53.0	14.4		Last year’s WR10 in first 8 games. Will open year as Brady’s No. 1 WR. 
R WIL QB SEA	Russell	Wilson	SEA	QB	68	54.0	11.8		‘17 was the year to buy Russ. OC, weapons, OL & regression concerns. 
D LEW RB TEN	Dion	Lewis	TEN	RB	55	55.0	15.2		Adds versatility to Titans backfield but lacks Derrick Henry scoring upside.
T BRA QB NE	Tom	Brady	NE	QB	57	56.0	12.0		Has thrown multiple TDs and/or 300+ yards in 30 of last 36 games (83%).
M LYN RB OAK	Marshawn	Lynch	OAK	RB	49	57.0	15.7		Avg’d 4.69 yards/carry & 99.7 total yards/game over final 7 weeks. 
T COL RB ATL	Tevin	Coleman	ATL	RB	86	58.0	8.7		Avg’d 10.7 touches/game with ATL backfield at full strength in ’17.
C NEW QB CAR	Cam	Newton	CAR	QB	66	59.0	12.8		Top-5 fantasy QB in 5-of-7 seasons. Multiple O-Line losses are concern. 
R BUR RB NE	Rex	Burkhead	NE	RB	60	60.0	18.5		Favorite to lead Patriots in touches with Sony Michel (knee) on shelf. 
C DAV WR TEN	Corey	Davis	TEN	WR	62	61.0	15.5		Brandon Marshall-level prospect out of college. Durability big concern.
G OLS TE CAR	Greg	Olsen	CAR	TE	77	62.0	11.7		33yo played 16 games in 9 straight seasons before last year’s foot fracture.
S WAT WR KC	Sammy	Watkins	KC	WR	63	63.0	19.0		Won’t decoy in KC. 
D WAT QB HOU	Deshaun	Watson	HOU	QB	69	64.0	11.1		Flashed outrageous ceiling, outscoring all QBs by 6 PPG in Wks 2-8.
R AND WR NYJ	Robby	Anderson	NYJ	WR	70	65.0	17.8		Was No. 12 in NFL in Air Yards. Sam Darnold looking like real deal.
J GRA TE GB	Jimmy	Graham	GB	TE	84	66.0	16.7		Has 10+ TD upside. 
M CRA WR BAL	Michael	Crabtree	BAL	WR	71	67.0	16.7		Outplayed by John Brown in camp. Still Baltimore’s best RZ threat.
E SAN WR DEN	Emmanuel	Sanders	DEN	WR	54	68.0	14.3		Value-pick WR3. 
S MIC RB NE	Sony	Michel	NE	RB	96	69.0	17.2	Week to Week	Knee “procedure” puts Michel behind in battle for early-season snaps. 
R PEN RB SEA	Rashaad	Penny	SEA	RB	85	70.0	23.2	Questionable for Week 1	Getting outplayed by Chris Carson. Now dealing with injured hand. 
D BRE QB NO	Drew	Brees	NO	QB	128	71.0	11.7		Led NFL in YPA (8.1). Attempts likely to rebound vs. tougher schedule. 
R WOO WR LAR	Robert	Woods	LAR	WR	65	72.0	11.4		Avg’d career-high 65.1 yards per game in first year with Sean McVay. 
D WAL TE TEN	Delanie	Walker	TEN	TE	78	73.0	13.9	Week to week	800+ yards 4 straight years. Massive positive-TD regression candidate.
E ENG TE NYG	Evan	Engram	NYG	TE	79	74.0	11.1	Week to week	Healthy returns of OBJ & Shepard + Barkley addition threaten volume.
M GOO WR SF	Marquise	Goodwin	SF	WR	72	75.0	23.2		Stark splits with/without Garcon but formed Jimmy G rapport.
I CRO RB NYJ	Isaiah	Crowell	NYJ	RB	59	76.0	13.3		Played behind Bilal Powell in preseason opener, left with concussion. 
C KUP WR LAR	Cooper	Kupp	LAR	WR	73	77.0	14.8		Led Rams in targets, RZ targets, yards/catch, receiving yards as rookie. 
D FUN WR CAR	Devin	Funchess	CAR	WR	64	78.0	19.3		Will face far more target competition after volume-driven breakout.
K JOH RB DET	Kerryon	Johnson	DET	RB	83	79.0	23.1		Lions likely lead runner shined in 3-down role in preseason opener. 
R COB WR GB	Randall	Cobb	GB	WR	75	80.0	18.1		Avg’d 6 catches/game with Rodgers. No. 2 among WRs in separation. 
