Index	First	Last	Position	Team	Pick	Roster
J BRO K NYG	Josh	Brown	K	NYG		
B MCM K DEN	Brandon	McManus	K	DEN		
K RUD TE MIN	Kyle	Rudolph	TE	MIN		
W TYE TE NYG	Will	Tye	TE	NYG		
V GRE TE DEN	Virgil	Green	TE	DEN		
R GRI QB CLE	Robert	Griffin	QB	CLE		
T BRI QB MIN	Teddy	Bridgewater	QB	MIN		
C BEA WR DAL	Cole	Beasley	WR	DAL		
S ROB WR OAK	Seth	Roberts	WR	OAK		
V MCD TE SF	Vance	McDonald	TE	SF		
J JAM TE PIT	Jesse	James	TE	PIT		
A SMI QB KC	Alex	Smith	QB	KC		
D PRE QB DAL	Dak	Prescott	QB	DAL		
S BRA QB PHI	Sam	Bradford	QB	PHI		
T SIE QB DEN	Trevor	Siemian	QB	DEN		
B GAB QB SF	Blaine	Gabbert	QB	SF		
T MON WR GB	Ty	Montgomery	WR	GB		
D AME WR NE	Danny	Amendola	WR	NE		
E ROY WR CHI	Eddie	Royal	WR	CHI		
A HAW WR CLE	Andrew	Hawkins	WR	CLE		
J ABB WR GB	Jared	Abbrederis	WR	GB		
Z ZEN RB DET	Zach	Zenner	RB	DET		
A WIL RB NYG	Andre	Williams	RB	NYG		
F WHI RB CAR	Fozzy	Whittaker	RB	CAR		
M DAV RB SF	Mike	Davis	RB	SF		
M BRO RB LA	Malcolm	Brown	RB	LA		
A BLU RB HOU	Alfred	Blue	RB	HOU		
J FER RB IND	Josh	Ferguson	RB	IND		
A COL RB SEA	Alex	Collins	RB	SEA		
K WIL RB FA	Karlos	Williams	RB	FA		
DEF BAL			DEF	BAL		
DEF PIT			DEF	PIT		
M BRY K ATL	Matt	Bryant	K	ATL		
N NOV K HOU	Nick	Novak	K	HOU		
J AMA TE NYJ	Jace	Amaro	TE	NYJ		
C BRA TE TB	Cameron	Brate	TE	TB		
H HEN TE SD	Hunter	Henry	TE	SD		
R ROD TE GB	Richard	Rodgers	TE	GB		
L KEN TE LA	Lance	Kendricks	TE	LA		
R RAN WR PHI	Rueben	Randle	WR	PHI		
D SMI WR NYJ	Devin	Smith	WR	NYJ		
T ROM QB DAL	Tony	Romo	QB	DAL		
DEF PHI			DEF	PHI		
DEF TB			DEF	TB		
DEF CHI			DEF	CHI		
DEF DET			DEF	DET		
