Index	First	Last	Position	Team	Pick	Roster
M CRO K GB	Mason	Crosby	K	GB		
G GAN K CAR	Graham	Gano	K	CAR		
B WAL K MIN	Blair	Walsh	K	MIN		
C CAT K ARI	Chandler	Catanzaro	K	ARI		
M PRA K DET	Matt	Prater	K	DET		
S WAR RB KC	Spencer	Ware	RB	KC	126.0	6.0
J ALL RB BAL	Javorius	Allen	RB	BAL	152.0	8.0
T WES RB BAL	Terrance	West	RB	BAL	145.0	1.0
C PRO RB SEA	C.J.	Prosise	RB	SEA		
K STI WR MIA	Kenny	Stills	WR	MIA		
S COA WR PIT	Sammie	Coates	WR	PIT		
M WAL WR BAL	Mike	Wallace	WR	BAL	140.0	5.0
T SHA WR TEN	Tajae	Sharpe	WR	TEN	141.0	4.0
M STA QB DET	Matthew	Stafford	QB	DET	113.0	8.0
A DAL QB CIN	Andy	Dalton	QB	CIN	117.0	4.0
J WIN QB TB	Jameis	Winston	QB	TB	112.0	9.0
C JOH RB ARI	Chris	Johnson	RB	ARI		
J HOW RB CHI	Jordan	Howard	RB	CHI		
J WIT TE DAL	Jason	Witten	TE	DAL	121.0	1.0
D ALL TE IND	Dwayne	Allen	TE	IND	114.0	7.0
A MOR RB DAL	Alfred	Morris	RB	DAL		
T HIG RB NO	Tim	Hightower	RB	NO		
W SMA RB PHI	Wendell	Smallwood	RB	PHI		
L TRE WR MIN	Laquon	Treadwell	WR	MIN	148.0	4.0
J DOC WR WAS	Josh	Doctson	WR	WAS		
J STR WR HOU	Jaelen	Strong	WR	HOU		
T PRY WR CLE	Terrelle	Pryor	WR	CLE		
C JOH WR MIN	Charles	Johnson	WR	MIN		
P PER RB NYG	Paul	Perkins	RB	NYG		
N AGH WR PHI	Nelson	Agholor	WR	PHI		
D GRE WR PHI	Dorial	Green-Beckham	WR	PHI		
B PER WR BAL	Breshad	Perriman	WR	BAL		
C CLA TE BUF	Charles	Clay	TE	BUF		
DEF MIN			DEF	MIN		
DEF NYJ			DEF	NYJ		
R AGU K TB	Roberto	Aguayo	K	TB		
C BOS K PIT	Chris	Boswell	K	PIT		
R FIT QB NYJ	Ryan	Fitzpatrick	QB	NYJ	134.0	11.0
R TAN QB MIA	Ryan	Tannehill	QB	MIA	132.0	12.0
M RYA QB ATL	Matt	Ryan	QB	ATL	129.0	9.0
P GAR WR WAS	Pierre	Garcon	WR	WAS		
C WAL TE OAK	Clive	Walford	TE	OAK		
A BOL WR DET	Anquan	Boldin	WR	DET		
K DIX RB BAL	Kenneth	Dixon	RB	BAL		
R BUS RB BUF	Reggie	Bush	RB	BUF		
D LEW RB NE	Dion	Lewis	RB	NE		
C WES RB KC	Charcandrick	West	RB	KC		
S DRA RB SF	Shaun	Draughn	RB	SF		
K CAR RB CHI	Ka'Deem	Carey	RB	CHI		
B CUN RB LA	Benjamin	Cunningham	RB	LA		
K DRA RB MIA	Kenyan	Drake	RB	MIA		
R TUR RB IND	Robert	Turbin	RB	IND		
C THO RB WAS	Chris	Thompson	RB	WAS		
B WAT TE BAL	Benjamin	Watson	TE	BAL		
L GRE TE PIT	Ladarius	Green	TE	PIT		
T WIL WR DAL	Terrance	Williams	WR	DAL		
J CRO WR WAS	Jamison	Crowder	WR	WAS		
K BRI WR LA	Kenny	Britt	WR	LA		
C CON WR KC	Chris	Conley	WR	KC		
D ADA WR GB	Davante	Adams	WR	GB		
B MIL WR HOU	Braxton	Miller	WR	HOU		
T GIN WR CAR	Ted	Ginn	WR	CAR		
K WRI WR TEN	Kendall	Wright	WR	TEN		
J KEA WR SEA	Jermaine	Kearse	WR	SEA		
V CRU WR NYG	Victor	Cruz	WR	NYG		
DEF BUF			DEF	BUF		
DEF LA			DEF	LA		
C SAN K KC	Cairo	Santos	K	KC		
R GOU K CHI	Robbie	Gould	K	CHI		
B OSW QB HOU	Brock	Osweiler	QB	HOU		
J FLA QB BAL	Joe	Flacco	QB	BAL	155.0	11.0
J CAM TE MIA	Jordan	Cameron	TE	MIA		
M MIT WR NE	Malcolm	Mitchell	WR	NE		
M LEE WR JAC	Marqise	Lee	WR	JAC		
T WIL WR SD	Tyrell	Williams	WR	SD		
A WIL WR KC	Albert	Wilson	WR	KC		
L CAR WR MIA	Leonte	Carroo	WR	MIA		
J HAR WR ATL	Justin	Hardy	WR	ATL		
R WOO WR BUF	Robert	Woods	WR	BUF		
C SPI RB NO	C.J.	Spiller	RB	NO		
C ART RB CAR	Cameron	Artis-Payne	RB	CAR		
K MAR RB WAS	Keith	Marshall	RB	WAS		
M GIL RB BUF	Mike	Gillislee	RB	BUF		
A ELL RB ARI	Andre	Ellington	RB	ARI		
T ERV RB HOU	Tyler	Ervin	RB	HOU		
B OLI RB SD	Branden	Oliver	RB	SD		
K ROB RB NYJ	Khiry	Robinson	RB	NYJ		
J CUT QB CHI	Jay	Cutler	QB	CHI		
J COO TE GB	Jared	Cook	TE	GB	146.0	2.0
A SEF TE TB	Austin	Seferian-Jenkins	TE	TB		
R HIL RB DEN	Ronnie	Hillman	RB	DEN		
D MCF RB DAL	Darren	McFadden	RB	DAL		
L DUN RB DAL	Lance	Dunbar	RB	DAL		
J NEL WR ARI	J.J.	Nelson	WR	ARI		
B LAF WR CIN	Brandon	LaFell	WR	CIN		
R HIG WR CLE	Rashard	Higgins	WR	CLE		
Q PAT WR SF	Quinton	Patton	WR	SF		
DEF IND			DEF	IND		
DEF JAC			DEF	JAC		
J BRO K NYG	Josh	Brown	K	NYG		
B MCM K DEN	Brandon	McManus	K	DEN		
K RUD TE MIN	Kyle	Rudolph	TE	MIN		
W TYE TE NYG	Will	Tye	TE	NYG		
V GRE TE DEN	Virgil	Green	TE	DEN		
R GRI QB CLE	Robert	Griffin	QB	CLE		
T BRI QB MIN	Teddy	Bridgewater	QB	MIN		
C BEA WR DAL	Cole	Beasley	WR	DAL		
S ROB WR OAK	Seth	Roberts	WR	OAK		
V MCD TE SF	Vance	McDonald	TE	SF		
J JAM TE PIT	Jesse	James	TE	PIT		
A SMI QB KC	Alex	Smith	QB	KC		
D PRE QB DAL	Dak	Prescott	QB	DAL		
S BRA QB PHI	Sam	Bradford	QB	PHI		
T SIE QB DEN	Trevor	Siemian	QB	DEN		
B GAB QB SF	Blaine	Gabbert	QB	SF		
T MON WR GB	Ty	Montgomery	WR	GB		
D AME WR NE	Danny	Amendola	WR	NE		
E ROY WR CHI	Eddie	Royal	WR	CHI		
A HAW WR CLE	Andrew	Hawkins	WR	CLE		
J ABB WR GB	Jared	Abbrederis	WR	GB		
Z ZEN RB DET	Zach	Zenner	RB	DET		
A WIL RB NYG	Andre	Williams	RB	NYG		
F WHI RB CAR	Fozzy	Whittaker	RB	CAR		
M DAV RB SF	Mike	Davis	RB	SF		
M BRO RB LA	Malcolm	Brown	RB	LA		
A BLU RB HOU	Alfred	Blue	RB	HOU		
J FER RB IND	Josh	Ferguson	RB	IND		
A COL RB SEA	Alex	Collins	RB	SEA		
K WIL RB FA	Karlos	Williams	RB	FA		
DEF BAL			DEF	BAL		
DEF PIT			DEF	PIT		
M BRY K ATL	Matt	Bryant	K	ATL		
N NOV K HOU	Nick	Novak	K	HOU		
J AMA TE NYJ	Jace	Amaro	TE	NYJ		
C BRA TE TB	Cameron	Brate	TE	TB		
H HEN TE SD	Hunter	Henry	TE	SD		
R ROD TE GB	Richard	Rodgers	TE	GB		
L KEN TE LA	Lance	Kendricks	TE	LA		
R RAN WR PHI	Rueben	Randle	WR	PHI		
D SMI WR NYJ	Devin	Smith	WR	NYJ		
T ROM QB DAL	Tony	Romo	QB	DAL		
DEF PHI			DEF	PHI		
DEF TB			DEF	TB		
DEF CHI			DEF	CHI		
DEF DET			DEF	DET		
