Index	First	Last	Position	Team	Pick	Roster
D HEN RB DEN	De'Angelo	Henderson	RB	DEN		
K BAL RB MIA	Kalen	Ballage	RB	MIA		
T WES RB NO	Terrance	West	RB	NO		
B SCO RB NO	Boston	Scott	RB	NO		
J SAM RB PIT	Jaylen	Samuels	RB	PIT		
D WIL RB KC	Damien	Williams	RB	KC		
T LOG RB ARI	T.J.	Logan	RB	ARI		
J JAC RB LAC	Justin	Jackson	RB	LAC		
C SAM WR CAR	Curtis	Samuel	WR	CAR		
DEF GB			DEF	GB		
DEF CHI			DEF	CHI		
J LAM K JAC	Josh	Lambo	K	JAC		
D HOP K WAS	Dustin	Hopkins	K	WAS		
J BUT TE DEN	Jake	Butt	TE	DEN		
V DAV TE WAS	Vernon	Davis	TE	WAS		
T KRO TE CIN	Tyler	Kroft	TE	CIN		
B JAR TE DAL	Blake	Jarwin	TE	DAL		
G EVE TE LAR	Gerald	Everett	TE	LAR		
T GAB WR CHI	Taylor	Gabriel	WR	CHI		
D WES WR JAC	Dede	Westbrook	WR	JAC		
A MCC QB BUF	AJ	McCarron	QB	BUF		
DEF CIN			DEF	CIN		
DEF DET			DEF	DET		
DEF KC			DEF	KC		
DEF SEA			DEF	SEA		
